instance,num_phases,w_balanced,strategy,weight_attr,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,digraph_build_s,build_s,solve_s,elapsed_s,speedup_vs_full,objective,obj_vs_full_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total
assembly_1,6,0.6,subgraph_mip,diverse,10,343,1105,126,11.4,0.432,0.011,1.247,1.258,285.17,0.9134,2.08,408,1.62,339.12,408,23.512,19.16,"[339.12, 408, 345.4, 350.63, 345.5, 368.2]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.6,subgraph_mip,edge_weight,20,343,1105,35,3.17,0.432,0.107,2.887,2.994,119.76,0.901,0.7,408,1.62,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,time_balanced_weight,20,343,1105,74,6.7,0.432,0.16,2.398,2.558,140.19,0.9862,10.22,408,1.62,304.68,408,35.728,28.74,"[339.12, 408, 350.63, 304.68, 352.92, 401.5]","[2, 2, 2, 3, 2, 2]",13
assembly_1,6,0.6,subgraph_mip,combined,20,343,1105,107,9.68,0.432,0.27,2.004,2.275,157.66,0.901,0.7,408,1.62,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,blended,20,343,1105,39,3.53,0.432,0.057,3.496,3.554,100.91,0.9134,2.08,408,1.62,339.12,408,23.512,19.16,"[339.12, 408, 345.4, 350.63, 345.5, 368.2]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.6,subgraph_mip,blended_union,20,343,1105,78,7.06,0.432,0.317,3.567,3.884,92.34,0.901,0.7,408,1.62,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,diverse,20,343,1105,238,21.54,0.432,0.029,8.102,8.131,44.1,0.9134,2.08,408,1.62,339.12,408,23.512,19.16,"[339.12, 408, 345.4, 350.63, 345.5, 368.2]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.6,subgraph_mip,edge_weight,50,343,1105,54,4.89,0.432,0.18,2.713,2.893,123.97,0.901,0.7,408,1.62,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,time_balanced_weight,50,343,1105,140,12.67,0.432,0.397,8.262,8.659,41.42,0.986,10.2,408,1.62,304.68,408,35.728,28.74,"[339.12, 408, 350.63, 304.68, 401.5, 352.92]","[2, 2, 2, 3, 2, 2]",13
assembly_1,6,0.6,subgraph_mip,combined,50,343,1105,188,17.01,0.432,0.646,3.464,4.11,87.25,0.901,0.7,408,1.62,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,blended,50,343,1105,55,4.98,0.432,0.429,0.637,1.066,336.3,0.9134,2.08,408,1.62,339.12,408,23.512,19.16,"[339.12, 408, 345.4, 350.63, 345.5, 368.2]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.6,subgraph_mip,blended_union,50,343,1105,112,10.14,0.432,0.87,1.801,2.671,134.26,0.901,0.7,408,1.62,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,diverse,50,343,1105,509,46.06,0.432,0.076,26.192,26.268,13.65,0.903,0.93,408,1.62,244.92,408,55.82,45.37,"[339.12, 244.92, 408, 376.48, 386.83, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,edge_weight,100,343,1105,78,7.06,0.432,0.286,2.943,3.229,111.07,0.901,0.7,408,1.62,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,time_balanced_weight,100,343,1105,202,18.28,0.432,0.44,18.956,19.396,18.49,0.9724,8.68,408,1.62,329.7,408,25.754,21.78,"[339.12, 408, 354.92, 350.63, 329.7, 374.48]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.6,subgraph_mip,combined,100,343,1105,262,23.71,0.432,0.894,6.549,7.443,48.18,0.901,0.7,408,1.62,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,blended,100,343,1105,71,6.43,0.432,0.356,1.934,2.29,156.6,0.9089,1.58,401.5,0.0,336.2,401.5,22.849,18.17,"[336.2, 376.48, 350.63, 401.5, 339.12, 352.92]","[2, 3, 2, 2, 2, 2]",13
assembly_1,6,0.6,subgraph_mip,blended_union,100,343,1105,155,14.03,0.432,1.35,9.846,11.196,32.03,0.901,0.7,408,1.62,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,diverse,100,343,1105,743,67.24,0.432,0.107,130.334,130.441,2.75,0.8975,0.3,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,edge_weight,200,343,1105,95,8.6,0.432,0.745,2.023,2.768,129.56,0.8947,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,time_balanced_weight,200,343,1105,254,22.99,0.432,1.033,17.199,18.232,19.67,0.9724,8.68,408,1.62,329.7,408,25.754,21.78,"[339.12, 408, 354.92, 350.63, 329.7, 374.48]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.6,subgraph_mip,combined,200,343,1105,327,29.59,0.432,1.337,11.205,12.542,28.59,0.8947,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,blended,200,343,1105,106,9.59,0.432,0.624,2.197,2.821,127.12,0.9055,1.21,408,1.62,339.12,408,22.682,19.16,"[339.12, 352.92, 408, 350.63, 345.5, 360.68]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.6,subgraph_mip,blended_union,200,343,1105,222,20.09,0.432,1.875,8.98,10.854,33.04,0.8947,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,diverse,200,343,1105,904,81.81,0.432,0.141,211.514,211.655,1.69,0.8947,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,edge_weight,500,343,1105,108,9.77,0.432,1.503,3.335,4.838,74.12,0.8947,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,time_balanced_weight,500,343,1105,395,35.75,0.432,2.166,37.566,39.732,9.03,0.9658,7.95,408,1.62,244.92,408,55.82,45.37,"[244.92, 339.12, 408, 376.48, 386.83, 401.5]","[1, 2, 2, 3, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,combined,500,343,1105,451,40.81,0.432,3.833,44.873,48.706,7.36,0.8947,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,blended,500,343,1105,136,12.31,0.432,1.615,4.122,5.736,62.52,0.9055,1.21,408,1.62,339.12,408,22.682,19.16,"[339.12, 352.92, 408, 350.63, 345.5, 360.68]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.6,subgraph_mip,blended_union,500,343,1105,268,24.25,0.432,5.451,25.395,30.846,11.63,0.8947,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,diverse,500,343,1105,1042,94.3,0.432,0.483,349.69,350.173,1.02,0.8947,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,edge_weight,1000,343,1105,142,12.85,0.432,3.519,5.112,8.631,41.55,0.8947,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,time_balanced_weight,1000,343,1105,471,42.62,0.432,4.092,82.584,86.676,4.14,0.9658,7.95,408,1.62,244.92,408,55.82,45.37,"[244.92, 339.12, 408, 376.48, 386.83, 401.5]","[1, 2, 2, 3, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,combined,1000,343,1105,546,49.41,0.432,7.21,33.045,40.254,8.91,0.8947,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,blended,1000,343,1105,166,15.02,0.432,3.793,8.263,12.056,29.75,0.9055,1.21,408,1.62,339.12,408,22.682,19.16,"[339.12, 352.92, 408, 350.63, 345.5, 360.68]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.6,subgraph_mip,blended_union,1000,343,1105,328,29.68,0.432,12.718,14.844,27.562,13.01,0.8947,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,diverse,1000,343,1105,1098,99.37,0.432,1.012,556.074,557.085,0.64,0.8947,-0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,edge_weight,2000,343,1105,185,16.74,0.432,8.294,6.237,14.531,24.68,0.8947,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,time_balanced_weight,2000,343,1105,617,55.84,0.432,8.411,132.097,140.508,2.55,0.9607,7.38,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,combined,2000,343,1105,666,60.27,0.432,16.466,136.429,152.895,2.35,0.8947,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,blended,2000,343,1105,205,18.55,0.432,8.96,18.345,27.304,13.13,0.9055,1.21,408,1.62,339.12,408,22.682,19.16,"[339.12, 352.92, 408, 350.63, 345.5, 360.68]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.6,subgraph_mip,blended_union,2000,343,1105,423,38.28,0.432,28.507,23.47,51.977,6.9,0.8947,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,diverse,2000,343,1105,1105,100.0,0.432,2.171,326.832,329.003,1.09,0.8947,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,edge_weight,5000,343,1105,232,21.0,0.432,33.087,17.945,51.032,7.03,0.8947,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,time_balanced_weight,5000,343,1105,768,69.5,0.432,27.333,207.24,234.573,1.53,0.958,7.07,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,combined,5000,343,1105,809,73.21,0.432,59.504,217.437,276.942,1.29,0.8947,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,blended,5000,343,1105,369,33.39,0.432,32.498,59.238,91.736,3.91,0.9055,1.21,408,1.62,339.12,408,22.682,19.16,"[339.12, 352.92, 408, 350.63, 345.5, 360.68]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.6,subgraph_mip,blended_union,5000,343,1105,532,48.14,0.432,93.838,80.628,174.466,2.06,0.8947,-0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.6,subgraph_mip,diverse,5000,343,1105,1105,100.0,0.432,4.713,248.187,252.899,1.42,0.8947,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.65,full_mip,—,,343,1105,1105,100.0,0.495,0.0,420.94,420.94,1.0,0.8992,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.65,subgraph_mip,edge_weight,1,343,1105,13,1.18,0.495,0.002,0.566,0.568,740.49,1.0212,13.57,484.48,20.67,244.92,484.48,86.653,66.64,"[339.12, 244.92, 408, 484.48, 420.13, 260.2]","[2, 1, 2, 4, 2, 2]",13
assembly_1,6,0.65,subgraph_mip,time_balanced_weight,1,343,1105,13,1.18,0.495,0.001,0.534,0.535,786.57,1.0771,19.79,444.83,10.79,242,444.83,83.119,56.42,"[242, 244.92, 410.92, 444.83, 412.68, 401.5]","[1, 1, 2, 3, 4, 2]",13
assembly_1,6,0.65,subgraph_mip,combined,1,343,1105,26,2.35,0.495,0.002,0.393,0.394,1067.08,1.0212,13.57,484.48,20.67,244.92,484.48,86.653,66.64,"[339.12, 244.92, 408, 484.48, 420.13, 260.2]","[2, 1, 2, 4, 2, 2]",13
assembly_1,6,0.65,subgraph_mip,blended,1,343,1105,13,1.18,0.495,0.001,0.462,0.463,908.26,0.9218,2.51,408,1.62,339.12,408,22.682,19.16,"[339.12, 408, 350.63, 345.5, 352.92, 360.68]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,blended_union,1,343,1105,36,3.26,0.495,0.014,1.765,1.779,236.63,0.9174,2.02,408,1.62,339.12,408,23.512,19.16,"[339.12, 408, 345.4, 350.63, 345.5, 368.2]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,diverse,1,343,1105,13,1.18,0.495,0.015,0.349,0.365,1154.38,0.9218,2.51,408,1.62,339.12,408,22.682,19.16,"[339.12, 408, 350.63, 345.5, 352.92, 360.68]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,edge_weight,2,343,1105,15,1.36,0.495,0.004,1.586,1.59,264.77,1.0212,13.57,484.48,20.67,244.92,484.48,86.653,66.64,"[339.12, 244.92, 408, 484.48, 420.13, 260.2]","[2, 1, 2, 4, 2, 2]",13
assembly_1,6,0.65,subgraph_mip,time_balanced_weight,2,343,1105,15,1.36,0.495,0.005,0.693,0.698,602.79,1.0738,19.42,444.83,10.79,242,444.83,83.119,56.42,"[244.92, 242, 410.92, 444.83, 412.68, 401.5]","[1, 1, 2, 3, 4, 2]",13
assembly_1,6,0.65,subgraph_mip,combined,2,343,1105,30,2.71,0.495,0.009,0.592,0.601,700.9,1.0212,13.57,484.48,20.67,244.92,484.48,86.653,66.64,"[339.12, 244.92, 408, 484.48, 420.13, 260.2]","[2, 1, 2, 4, 2, 2]",13
assembly_1,6,0.65,subgraph_mip,blended,2,343,1105,15,1.36,0.495,0.004,2.034,2.038,206.5,0.9218,2.51,408,1.62,339.12,408,22.682,19.16,"[339.12, 408, 350.63, 345.5, 352.92, 360.68]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,blended_union,2,343,1105,42,3.8,0.495,0.021,0.802,0.823,511.17,0.9174,2.02,408,1.62,339.12,408,23.512,19.16,"[339.12, 408, 345.4, 350.63, 345.5, 368.2]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,diverse,2,343,1105,26,2.35,0.495,0.005,0.671,0.675,623.21,0.9218,2.51,408,1.62,339.12,408,22.682,19.16,"[339.12, 408, 350.63, 345.5, 352.92, 360.68]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,edge_weight,5,343,1105,21,1.9,0.495,0.015,1.185,1.2,350.75,1.0212,13.57,484.48,20.67,244.92,484.48,86.653,66.64,"[339.12, 244.92, 408, 484.48, 420.13, 260.2]","[2, 1, 2, 4, 2, 2]",13
assembly_1,6,0.65,subgraph_mip,time_balanced_weight,5,343,1105,42,3.8,0.495,0.018,1.112,1.13,372.55,1.0329,14.87,408,1.62,244.92,408,56.151,45.37,"[244.92, 408, 350.63, 398.88, 352.92, 401.5]","[1, 2, 2, 4, 2, 2]",13
assembly_1,6,0.65,subgraph_mip,combined,5,343,1105,62,5.61,0.495,0.04,1.251,1.291,326.0,1.0212,13.57,484.48,20.67,244.92,484.48,86.653,66.64,"[339.12, 244.92, 408, 484.48, 420.13, 260.2]","[2, 1, 2, 4, 2, 2]",13
assembly_1,6,0.65,subgraph_mip,blended,5,343,1105,21,1.9,0.495,0.037,0.581,0.617,681.97,0.9218,2.51,408,1.62,339.12,408,22.682,19.16,"[339.12, 408, 350.63, 345.5, 352.92, 360.68]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,blended_union,5,343,1105,60,5.43,0.495,0.08,2.304,2.384,176.6,0.9174,2.02,408,1.62,339.12,408,23.512,19.16,"[339.12, 408, 345.4, 350.63, 345.5, 368.2]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,diverse,5,343,1105,65,5.88,0.495,0.008,0.862,0.87,484.11,0.9178,2.07,408,1.62,339.12,408,23.512,19.16,"[339.12, 408, 345.4, 350.63, 345.5, 368.2]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,edge_weight,10,343,1105,24,2.17,0.495,0.027,0.531,0.558,754.38,1.0212,13.57,484.48,20.67,244.92,484.48,86.653,66.64,"[339.12, 244.92, 408, 484.48, 420.13, 260.2]","[2, 1, 2, 4, 2, 2]",13
assembly_1,6,0.65,subgraph_mip,time_balanced_weight,10,343,1105,59,5.34,0.495,0.037,1.477,1.514,278.0,1.0329,14.87,408,1.62,244.92,408,56.151,45.37,"[244.92, 408, 350.63, 398.88, 352.92, 401.5]","[1, 2, 2, 4, 2, 2]",13
assembly_1,6,0.65,subgraph_mip,combined,10,343,1105,82,7.42,0.495,0.064,1.725,1.789,235.31,1.0212,13.57,484.48,20.67,244.92,484.48,86.653,66.64,"[339.12, 244.92, 408, 484.48, 420.13, 260.2]","[2, 1, 2, 4, 2, 2]",13
assembly_1,6,0.65,subgraph_mip,blended,10,343,1105,24,2.17,0.495,0.027,0.65,0.677,621.76,0.9218,2.51,408,1.62,339.12,408,22.682,19.16,"[339.12, 408, 350.63, 345.5, 352.92, 360.68]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,blended_union,10,343,1105,68,6.15,0.495,0.106,2.071,2.177,193.32,0.9174,2.02,408,1.62,339.12,408,23.512,19.16,"[339.12, 408, 345.4, 350.63, 345.5, 368.2]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,diverse,10,343,1105,126,11.4,0.495,0.009,1.615,1.624,259.18,0.9174,2.02,408,1.62,339.12,408,23.512,19.16,"[339.12, 408, 345.4, 350.63, 345.5, 368.2]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,edge_weight,20,343,1105,35,3.17,0.495,0.07,1.456,1.527,275.74,0.9066,0.82,408,1.62,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.65,subgraph_mip,time_balanced_weight,20,343,1105,74,6.7,0.495,0.069,1.92,1.989,211.63,0.9811,9.11,408,1.62,304.68,408,35.728,28.74,"[339.12, 408, 350.63, 304.68, 352.92, 401.5]","[2, 2, 2, 3, 2, 2]",13
assembly_1,6,0.65,subgraph_mip,combined,20,343,1105,107,9.68,0.495,0.124,2.046,2.169,194.06,0.9066,0.82,408,1.62,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.65,subgraph_mip,blended,20,343,1105,39,3.53,0.495,0.054,0.971,1.025,410.63,0.9174,2.02,408,1.62,339.12,408,23.512,19.16,"[339.12, 408, 345.4, 350.63, 345.5, 368.2]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,blended_union,20,343,1105,78,7.06,0.495,0.193,3.045,3.238,129.99,0.9066,0.82,408,1.62,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.65,subgraph_mip,diverse,20,343,1105,237,21.45,0.495,0.015,8.076,8.092,52.02,0.9174,2.02,408,1.62,339.12,408,23.512,19.16,"[339.12, 408, 345.4, 350.63, 345.5, 368.2]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,edge_weight,50,343,1105,54,4.89,0.495,0.226,0.96,1.187,354.7,0.9066,0.82,408,1.62,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.65,subgraph_mip,time_balanced_weight,50,343,1105,140,12.67,0.495,0.305,10.352,10.657,39.5,0.9809,9.09,408,1.62,304.68,408,35.728,28.74,"[339.12, 408, 350.63, 304.68, 401.5, 352.92]","[2, 2, 2, 3, 2, 2]",13
assembly_1,6,0.65,subgraph_mip,combined,50,343,1105,188,17.01,0.495,0.484,4.128,4.612,91.27,0.9066,0.82,408,1.62,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.65,subgraph_mip,blended,50,343,1105,50,4.52,0.495,0.151,1.176,1.327,317.25,0.9174,2.02,408,1.62,339.12,408,23.512,19.16,"[339.12, 408, 345.4, 350.63, 345.5, 368.2]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,blended_union,50,343,1105,112,10.14,0.495,0.5,3.641,4.141,101.65,0.9066,0.82,408,1.62,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.65,subgraph_mip,diverse,50,343,1105,507,45.88,0.495,0.031,49.092,49.123,8.57,0.9105,1.26,408,1.62,339.12,408,22.682,19.16,"[339.12, 352.92, 408, 350.63, 345.5, 360.68]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,edge_weight,100,343,1105,78,7.06,0.495,0.299,2.318,2.617,160.86,0.9066,0.82,408,1.62,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.65,subgraph_mip,time_balanced_weight,100,343,1105,202,18.28,0.495,0.581,10.813,11.394,36.94,0.969,7.77,408,1.62,329.7,408,25.754,21.78,"[339.12, 408, 354.92, 350.63, 329.7, 374.48]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,combined,100,343,1105,262,23.71,0.495,0.78,7.693,8.473,49.68,0.9066,0.82,408,1.62,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.65,subgraph_mip,blended,100,343,1105,72,6.52,0.495,0.446,2.989,3.434,122.57,0.9115,1.37,401.5,0.0,336.2,401.5,22.849,18.17,"[336.2, 376.48, 350.63, 401.5, 339.12, 352.92]","[2, 3, 2, 2, 2, 2]",13
assembly_1,6,0.65,subgraph_mip,blended_union,100,343,1105,155,14.03,0.495,1.391,6.056,7.446,56.53,0.9066,0.82,408,1.62,244.92,408,55.757,45.37,"[339.12, 244.92, 408, 384, 379.31, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.65,subgraph_mip,diverse,100,343,1105,741,67.06,0.495,0.133,125.774,125.907,3.34,0.9083,1.02,408,1.62,244.92,408,55.82,45.37,"[339.12, 244.92, 408, 376.48, 386.83, 401.5]","[2, 1, 2, 3, 3, 2]",13
assembly_1,6,0.65,subgraph_mip,edge_weight,200,343,1105,95,8.6,0.495,0.511,2.264,2.775,151.67,0.8992,-0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.65,subgraph_mip,time_balanced_weight,200,343,1105,254,22.99,0.495,0.812,23.751,24.562,17.14,0.969,7.77,408,1.62,329.7,408,25.754,21.78,"[339.12, 408, 354.92, 350.63, 329.7, 374.48]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,combined,200,343,1105,327,29.59,0.495,1.251,10.888,12.139,34.68,0.8992,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.65,subgraph_mip,blended,200,343,1105,106,9.59,0.495,0.514,3.983,4.497,93.61,0.9105,1.26,408,1.62,339.12,408,22.682,19.16,"[339.12, 352.92, 408, 350.63, 345.5, 360.68]","[2, 2, 2, 2, 2, 3]",13
assembly_1,6,0.65,subgraph_mip,blended_union,200,343,1105,222,20.09,0.495,2.237,8.829,11.065,38.04,0.8992,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.65,subgraph_mip,diverse,200,343,1105,900,81.45,0.495,0.135,319.9,320.035,1.32,0.8992,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
assembly_1,6,0.65,subgraph_mip,edge_weight,500,343,1105,108,9.77,0.495,1.584,2.885,4.47,94.18,0.8992,0.0,401.5,0.0,332,401.5,26.232,19.33,"[339.12, 352.92, 342.48, 332, 388.83, 401.5]","[2, 2, 2, 2, 3, 2]",13
